ACCOUNT ID,DATE,NARRATIVE,AMOUNT,CREDIT ACCOUNT ID,DEBIT ACCOUNT ID,NEW DATE,NEW AMOUNT
1,6/30/2021,Transfer of savings to clear the outstanding balance on alloted share capital,-960000,32,8,30/06/2021,960000
2,6/30/2021,Transfer of 50% of savings to clear the part of the alloted share capital,-173056,32,8,30/06/2021,173056
3,6/30/2021,Transfer of savings to clear the outstanding balance on alloted share capital,-919360,32,8,30/06/2021,919360
4,6/30/2021,Transfer of savings to clear the outstanding balance on alloted share capital,-919360,32,8,30/06/2021,919360
5,4/30/2021,Transfer of savings to clear the outstanding balance on share capital,-620000,32,8,30/04/2021,620000
6,6/30/2021,Transfer of savings to clear the outstanding balance on alloted share capital,-960000,32,8,30/06/2021,960000
7,6/30/2021,Transfer of savings to clear the outstanding balance on alloted share capital,-900000,32,8,30/06/2021,900000
8,6/30/2021,Transfer of savings to clear the outstanding balance on alloted share capital,-432098,32,8,30/06/2021,432098
9,6/30/2021,Transfer of savings to clear the outstanding balance on alloted share capital,-600000,32,8,30/06/2021,600000
10,6/30/2021,Transfer of savings to clear the outstanding balance on alloted share capital,-960000,32,8,30/06/2021,960000
11,6/30/2021,Transfer of savings to clear the outstanding balance on alloted share capital,-760000,32,8,30/06/2021,760000
12,6/30/2021,Transfer of savings to clear the outstanding balance on alloted share capital,-900000,32,8,30/06/2021,900000
14,6/30/2021,Transfer of savings to clear the outstanding balance on alloted share capital,-860000,32,8,30/06/2021,860000
15,6/30/2021,Transfer of savings to clear the outstanding balance on alloted share capital,-74480,32,8,30/06/2021,74480
16,6/30/2021,Transfer of savings to clear the outstanding balance on alloted share capital,-865280,32,8,30/06/2021,865280
26,6/30/2021,Transfer of savings to clear the outstanding balance on alloted share capital,-436696,32,8,30/06/2021,436696
18,6/30/2021,Transfer of savings to clear the outstanding balance on alloted share capital,-960000,32,8,30/06/2021,960000
19,6/30/2021,Transfer of savings to clear the outstanding balance on alloted share capital,-940000,32,8,30/06/2021,940000
20,6/30/2021,Transfer of savings to clear the outstanding balance on alloted share capital,-919360,32,8,30/06/2021,919360
21,6/30/2021,Transfer of savings to clear the outstanding balance on alloted share capital,-900000,32,8,30/06/2021,900000
22,6/30/2021,Transfer of savings to clear the outstanding balance on alloted share capital,-800000,32,8,30/06/2021,800000
23,6/30/2021,Transfer of savings to clear the outstanding balance on alloted share capital,-840000,32,8,30/06/2021,840000
25,6/30/2021,Transfer of savings to clear the outstanding balance on alloted share capital,-900000,32,8,30/06/2021,900000
27,6/30/2021,Transfer of savings to clear the outstanding balance on alloted share capital,-518517,32,8,30/06/2021,518517
28,6/30/2021,Transfer of savings to clear the outstanding balance on alloted share capital,-880000,32,8,30/06/2021,880000
29,6/30/2021,Transfer of savings to clear the outstanding balance on alloted share capital,-919360,32,8,30/06/2021,919360
30,6/30/2021,Transfer of savings to clear the outstanding balance on alloted share capital,-160888,32,8,30/06/2021,160888
31,6/30/2021,Transfer of savings to clear the outstanding balance on alloted share capital,-900000,32,8,30/06/2021,900000
33,6/30/2021,Transfer of savings to clear the outstanding balance on alloted share capital,-960000,32,8,30/06/2021,960000
34,6/30/2021,Transfer of savings to clear the outstanding balance on alloted share capital,-919360,32,8,30/06/2021,919360
35,6/30/2021,Transfer of savings to clear the outstanding balance on alloted share capital,-920000,32,8,30/06/2021,920000
36,6/30/2021,Transfer of savings to clear the outstanding balance on alloted share capital,-880000,32,8,30/06/2021,880000
37,6/30/2021,Transfer of savings to clear the outstanding balance on alloted share capital,-900000,32,8,30/06/2021,900000
38,6/30/2021,Transfer of savings to clear the outstanding balance on alloted share capital,-960000,32,8,30/06/2021,960000
39,6/30/2021,Transfer of savings to clear the outstanding balance on alloted share capital,-900000,32,8,30/06/2021,900000
40,1/31/2021,Savings transfer to shares vide ST01/21,-400000,32,8,31/01/2021,400000
40,6/30/2021,Transfer of savings to clear the outstanding balance on alloted share capital,-236696,32,8,30/06/2021,236696
41,6/30/2021,Transfer of savings to clear the outstanding balance on alloted share capital,-436696,32,8,30/06/2021,436696
43,6/10/2021,Transfer of savings to clear the outstanding balance on share capital,-860000,32,8,10/6/2021,860000
44,6/30/2021,Transfer of savings to clear the outstanding balance on alloted share capital,-180000,32,8,30/06/2021,180000
45,6/30/2021,Transfer of savings to clear the outstanding balance on alloted share capital,-130000,32,8,30/06/2021,130000
46,6/30/2021,Transfer of savings to clear the outstanding balance on alloted share capital,-215000,32,8,30/06/2021,215000
47,6/30/2021,Transfer of savings to clear the outstanding balance on alloted share capital,-175000,32,8,30/06/2021,175000
48,6/30/2021,Transfer of savings to clear the outstanding balance on alloted share capital,-960000,32,8,30/06/2021,960000
24,3/16/2021,PV:7118 Transfer of savings to chare capital (deducted upon leaving JCU),-83333,32,40,16/03/2021,83333
