ACCOUNT ID,DATE,NARRATIVE,AMOUNT,SPLIT,NEW DATE,SPLIT
1,2/28/2020,Savings for the Month of February 2020,216320,Equity Joint A/C,28/02/2020,50
1,3/31/2020,Savings for the Month of March 2020,216320,Equity Joint A/C,31/03/2020,50
1,4/30/2020,Savings for the Month of April 2020,216320,Equity Joint A/C,30/04/2020,50
1,5/23/2020,Savings for the Month of May 2020,216320,Equity Joint A/C,23/05/2020,50
1,6/30/2020,Savings for the Month of June 2020,216320,Equity Joint A/C,30/06/2020,50
1,7/31/2020,Savings for the Month of July 2020,216320,Equity Joint A/C,31/07/2020,50
1,8/31/2020,Savings for the Month of August 2020,216320,Equity Joint A/C,31/08/2020,50
1,9/30/2020,Savings for the Month of September 2020,216320,Equity Joint A/C,30/09/2020,50
1,10/27/2020,Savings for the Month of October 2020,216320,DFCU SACCO A/C,27/10/2020,40
1,11/30/2020,Savings for the Month of November 2020,216320,DFCU SACCO A/C,30/11/2020,40
1,12/31/2020,Savings for the Month of December 2020,216320,DFCU SACCO A/C,31/12/2020,40
1,1/31/2021,Savings for the Month of January 2021,216320,DFCU SACCO A/C,31/01/2021,40
2,2/28/2020,Savings for the Month of February 2020,173056,Equity Joint A/C,28/02/2020,50
2,3/31/2020,Savings for the Month of March 2020,173056,Equity Joint A/C,31/03/2020,50
3,2/28/2020,Savings for the Month of February 2020,108160,Equity Joint A/C,28/02/2020,50
3,3/31/2020,Savings for the Month of March 2020,108160,Equity Joint A/C,31/03/2020,50
3,4/30/2020,Savings for the Month of April 2020,108160,Equity Joint A/C,30/04/2020,50
3,5/23/2020,Savings for the Month of May 2020,108160,Equity Joint A/C,23/05/2020,50
3,6/30/2020,Savings for the Month of June 2020,108160,Equity Joint A/C,30/06/2020,50
3,7/31/2020,Savings for the Month of July 2020,108160,Equity Joint A/C,31/07/2020,50
3,8/31/2020,Savings for the Month of August 2020,108160,Equity Joint A/C,31/08/2020,50
3,9/30/2020,Savings for the Month of September 2020,108160,Equity Joint A/C,30/09/2020,50
3,10/27/2020,Savings for the Month of October 2020,108160,DFCU SACCO A/C,27/10/2020,40
3,11/30/2020,Savings for the Month of November 2020,108160,DFCU SACCO A/C,30/11/2020,40
3,12/31/2020,Savings for the Month of December 2020,108160,DFCU SACCO A/C,31/12/2020,40
3,1/31/2021,Savings for the Month of January 2021,108160,DFCU SACCO A/C,31/01/2021,40
3,2/28/2021,Savings for the Month of February 2021,108160,DFCU SACCO A/C,28/02/2021,40
3,3/30/2021,Savings for the Month of March 2021,108160,DFCU SACCO A/C,30/03/2021,40
3,4/30/2021,Savings for the Month of April 2021,108160,DFCU SACCO A/C,30/04/2021,40
