RECORD_ID,LOAN_ID,PERIOD,PAYMENT_DATE,BEGINING_BALANCE,PAYMENT_AMOUNT,PAYMENT_PRINCIPLE,PAYMENT_INTEREST,ENDING_BALANCE,PAID,DATE,CREATED_BY,CREATED_DT,TRANS_REF
238263,165444,1,1/11/2020,108343990,2545675,1208095,1337580,105798315,Y,1/11/2020,9,1/10/2020,274071
238264,165444,2,1/12/2020,107120794,2545675,1223196,1322479,104575119,Y,1/12/2020,9,1/10/2020,275450
238265,165444,3,1/1/2021,105882308,2545675,1238486,1307189,103336633,N,NULL,9,1/10/2020,NULL
238266,165444,4,1/2/2021,104628341,2545675,1253967,1291708,102082666,N,NULL,9,1/10/2020,NULL
238267,165444,5,1/3/2021,103358699,2545675,1269642,1276033,100813024,N,NULL,9,1/10/2020,NULL
238268,165444,6,1/4/2021,102073187,2545675,1285512,1260163,99527512,N,NULL,9,1/10/2020,NULL
238269,165444,7,1/5/2021,100771606,2545675,1301581,1244094,98225931,N,NULL,9,1/10/2020,NULL
238270,165444,8,1/6/2021,99453755,2545675,1317851,1227824,96908080,N,NULL,9,1/10/2020,NULL
238271,165444,9,1/7/2021,98119431,2545675,1334324,1211351,95573756,N,NULL,9,1/10/2020,NULL
238272,165444,10,1/8/2021,96768428,2545675,1351003,1194672,94222753,N,NULL,9,1/10/2020,NULL
238273,165444,11,1/9/2021,95400537,2545675,1367891,1177784,92854862,N,NULL,9,1/10/2020,NULL
238274,165444,12,1/10/2021,94015548,2545675,1384989,1160686,91469873,N,NULL,9,1/10/2020,NULL
238275,165444,13,1/11/2021,92613246,2545675,1402302,1143373,90067571,N,NULL,9,1/10/2020,NULL
238276,165444,14,1/12/2021,91193416,2545675,1419830,1125845,88647741,N,NULL,9,1/10/2020,NULL
238277,165444,15,1/1/2022,89755838,2545675,1437578,1108097,87210163,N,NULL,9,1/10/2020,NULL
238278,165444,16,1/2/2022,88300290,2545675,1455548,1090127,85754615,N,NULL,9,1/10/2020,NULL
238279,165444,17,1/3/2022,86826548,2545675,1473742,1071933,84280873,N,NULL,9,1/10/2020,NULL
238280,165444,18,1/4/2022,85334384,2545675,1492164,1053511,82788709,N,NULL,9,1/10/2020,NULL
238281,165444,19,1/5/2022,83823568,2545675,1510816,1034859,81277893,N,NULL,9,1/10/2020,NULL
238282,165444,20,1/6/2022,82293867,2545675,1529701,1015974,79748192,N,NULL,9,1/10/2020,NULL
238283,165444,21,1/7/2022,80745044,2545675,1548823,996852,78199369,N,NULL,9,1/10/2020,NULL
238284,165444,22,1/8/2022,79176861,2545675,1568183,977492,76631186,N,NULL,9,1/10/2020,NULL
238285,165444,23,1/9/2022,77589076,2545675,1587785,957890,75043401,N,NULL,9,1/10/2020,NULL
238286,165444,24,1/10/2022,75981443,2545675,1607633,938043,73435768,N,NULL,9,1/10/2020,NULL
238287,165444,25,1/11/2022,74353715,2545675,1627728,917947,71808040,N,NULL,9,1/10/2020,NULL
