Member ID,Client Loan ID,Installment Number,Total Payment,Principal Paid,Interest Paid,Penalty Paid,Date Paid,payment_status
52,16,1,229400,166667,40000,22700,24-03-2021,1
52,16,2,206000,166667,39333,,30-3-2021,1
52,16,3,206000,166667,39333,,26-4-2021,1
52,16,4,206000,166667,39333,,24-5-2021,1
52,16,5,200000,166667,33333,,2-7-2021,1
52,16,6,206000,166667,39333,,26-7-2021,1
52,16,7,260400,166667,40000,53700,8-10-2021,1
52,16,8,268740,166667,40000,62040,25-11-2021,1
52,16,8,31260,166667,40000,,25-11-2021,1
52,16,9,260000,166667,40000,59975,20-12-2021,2
52,16,10,263013,166667,40000,49638,29-12-2021,1
6,3,1,268700,216700,52000,,22-3-2021,1
6,3,2,269000,216700,52000,,21-4-2021,1
6,3,2,100000,216000,52000,,18-5-2021,1
6,3,3,168700,216000,52000,,20-5-2021,1
6,3,4,120000,216000,52000,,25-6-2021,1
6,3,4,100000,216000,52000,,19-8-2021,1
6,3,5,267000,216000,52000,,18-8-2021,1
6,3,7,306108,216000,268490,37618,27-9-2021,1
6,3,8,301000,216000,268756,32244,29-11-2021,1
6,3,8,150000,216000,268756,,29-11-2021,1
6,3,9,161700,216000,118708,42992,30-11-2021,1
6,3,10,260000,216000,268756,,22-12-2021,1
6,3,11,270000,216000,243130,26870,24-1-2021,1
6,3,11,40000,216000,268756,,27-1-2022,1
6,3,11,200000,216000,268756,,27-1-2021,1
56,5,1,801700,541667,260000,,29-03-2021,1
56,5,2,801700,541667,260000,,5-May-2021,1
56,5,3,801700,541667,260000,,6-May-2021,1
49,4,1,801700,541667,260000,,11-May-2021,1
49,4,2,801700,541667,260000,,1-Jun-2021,1
49,4,5,801700,541667,260000,,9-Jan-2021,1
49,4,6,801700,541667,260000,,9-Jul-2021,1
49,4,7,801700,541667,260000,,11-Jan-2021,1
49,4,8,801700,541667,260000,,11-Jan-2021,1
49,4,9,563400,541667,260000,,11-Jan-2021,1
49,4,10,238300,541667,260000,,1-May-2021,1
49,4,11,802000,541667,260000,,2-Oct-2022,1
25,12,1,740000,500000,240000,,6-Jan-2021,1
25,12,4,740000,500000,240000,,27-8-2021,1
25,12,5,740000,500000,240000,,10-May-2021,1
25,12,8,740000,500000,240000,,31-1-2021,1
38,14,1,41000,33333,8000,,6-Jan-2021,1
38,14,4,41000,33333,8000,,8-Nov-2021,1
38,14,5,41000,33333,8000,, 7-10-2021,1
38,14,6,41000,33333,8000,,11-Aug-2021,1
38,14,7,41000,33333,8000,,12-Jun-2021,1
48,19,1,616000,416667,200000,,28-6-2021,1
48,19,2,616000,416667,200000,,23-7-2021,1
48,19,3,615000,416667,200000,,23-7-2021,1
48,19,4,610000,416667,200000,,10-Jan-2021,1
48,19,5,618000,416667,200000,,11-Jan-2021,1
48,19,6,670000,416667,200000,,29-11-2021,1
48,19,7,620000,416667,200000,,29-12-2021,1
48,19,8,650000,416667,200000,,31-12-2022,1
11,8,3,320700,216667,200000,,9-Jan-2021,1
11,8,5,160000,216667,200000,,11-Nov-2021,1
11,8,6,160000,216667,200000,,13-12-2021,1
11,8,7,253003,216667,160000,93003,14-2-2022,1
11,8,8,320000,216667,200000,,2-Aug-2022,1
54,17,1,680000,500000,180000,,21-07-2021,1
54,17,2,680000,500000,180000,,17-8-2021,1
54,17,3,680000,500000,180000,,20-9-2021,1
54,17,4,680000,500000,180000,,20-10-2021,1
54,17,5,680000,500000,180000,,20-11-2021,1
54,17,6,680000,500000,180000,,20-12-2021,1
54,17,7,680000,500000,180000,,19-1-2022,1
34,9,1,123500,83333,40000,,8-Jun-2021,1
34,9,2,123500,83333,40000,,9-Jun-2021,1
34,9,3,123500,83333,40000,,10-May-2021,1
34,9,4,125000,83333,40000,,11-Apr-2021,1
34,9,5,125000,83333,40000,,12-Sep-2021,1
34,9,6,123500,83333,40000,,19-12-22,1
34,9,7,123500,83333,40000,,18-2-2022,1
42,15,1,183400,133333,50000,,20-10-2021,1
42,15,2,183400,133333,50000,,20-11-2021,1
42,15,3,183400,133333,50000,,20-12-2021,1
42,15,4,221914,133333,183400,38514,2-Feb-2022,1
19,7,1,1054500,712500,342000,,28-9-2021,1
19,7,2,712500,712500,342000,,28-9-2021,1
19,7,3,712500,712500,342000,,28-9-2021,1
19,7,4,712500,712500,342000,,28-9-2021,1
19,7,5,712500,712500,342000,,28-9-2021,1
19,7,6,528500,712500,342000,,28-9-2021,1
19,7,6,184000,712500,342000,,30-9-2021,1
19,7,7,712500,712500,342000,,30-9-2021,1
19,7,8,712500,712500,342000,,30-9-2021,1
19,7,9,1054500,712500,342000,,28-10-2021,1
19,7,10,1054500,712500,342000,,29-11-2021,1
19,7,11,1054500,712500,342000,,29-12-2021,1
19,7,12,1054500,712500,342000,,31-1-2022,1
63,20,1,617000,416667,20000,,11-Feb-2021,1
63,20,2,617000,416667,20000,,12-Aug-2021,1
63,20,3,617000,416667,20000,,1-Jun-2022,1
63,20,4,617000,416667,20000,,29-02-2022,1
28,10,1,493400,333333,160000,,12-Jan-2021,1
28,10,2,500000,333333,160000,,1-Dec-2022,1
28,10,3,500000,333333,160000,,2-Nov-2022,1
5,11,1,185000,125000,60000,,22-12-2021,1
5,11,2,185000,125000,60000,,29-1-2022,1
5,11,3,185000,125000,60000,,18-2-2022,1
1,6,1,512000,416667,100000,,1-Apr-2022,1
1,6,2,520000,416667,100000,,2-Mar-2022,1
67,21,1,1542000,1041667,500000,,1-Mar-2022,1
67,21,2,1542000,1041667,500000,,28-1-2022,1
3,1,1,540000,500000,40000,,31-1-2022,1
4,2,1,64500,60000,4500,,2-Aug-2022,1
